Country/territory,WHO Preferred Vaccine Name,mmm Year,Bilateral/multilateral agreements,Donations,COVAX,AVAT,Unknown,Total Doses Delivered
Czechia,Pfizer BioNTech - Comirnaty,Jul 2021,"2,041,630",,,,,"2,041,630"
Czechia,Pfizer BioNTech - Comirnaty,Aug 2021,"1,928,890",,,,,"1,928,890"
Czechia,Pfizer BioNTech - Comirnaty,Sep 2021,"1,119,690",,,,,"1,119,690"
Czechia,Pfizer BioNTech - Comirnaty,Oct 2021,"1,604,070",,,,,"1,604,070"
Czechia,Pfizer BioNTech - Comirnaty,Nov 2021,"1,223,820",,,,,"1,223,820"
Czechia,Pfizer BioNTech - Comirnaty,Dec 2021,0,,,,,0
Czechia,Pfizer BioNTech - Comirnaty,Jan 2022,"1,563,930",,,,,"1,563,930"
Czechia,Pfizer BioNTech - Comirnaty,Feb 2022,"1,563,720",,,,,"1,563,720"
Czechia,Pfizer BioNTech - Comirnaty,Mar 2022,"1,564,380",,,,,"1,564,380"
Czechia,Pfizer BioNTech - Comirnaty,Apr 2022,"1,071,990",,,,,"1,071,990"
Czechia,Pfizer BioNTech - Comirnaty,May 2022,"381,870",,,,,"381,870"
Czechia,Pfizer BioNTech - Comirnaty,Jun 2022,0,,,,,0
Czechia,Pfizer BioNTech - Comirnaty,Jul 2022,0,,,,,0
Czechia,Pfizer BioNTech - Comirnaty,Aug 2022,0,,,,,0
Czechia,Pfizer BioNTech - Comirnaty,Sep 2022,"1,321,920",,,,,"1,321,920"
Czechia,Unknown,Sep 2022,0,,,,,0
Denmark,AstraZeneca - Vaxzevria,Dec 2020,1,,,,,1
Denmark,AstraZeneca - Vaxzevria,Jan 2021,17,,,,,17
Denmark,AstraZeneca - Vaxzevria,Feb 2021,"85,158",,,,,"85,158"
Denmark,AstraZeneca - Vaxzevria,Mar 2021,"66,184",,,,,"66,184"
Denmark,AstraZeneca - Vaxzevria,Apr 2021,505,,,,,505
Denmark,AstraZeneca - Vaxzevria,May 2021,"1,038",,,,,"1,038"
Denmark,AstraZeneca - Vaxzevria,Jun 2021,"1,048",,,,,"1,048"
Denmark,AstraZeneca - Vaxzevria,Jul 2021,621,,,,,621
Denmark,AstraZeneca - Vaxzevria,Aug 2021,467,,,,,467
Denmark,AstraZeneca - Vaxzevria,Sep 2021,229,,,,,229
Denmark,AstraZeneca - Vaxzevria,Oct 2021,171,,,,,171
Denmark,AstraZeneca - Vaxzevria,Nov 2021,131,,,,,131
Denmark,AstraZeneca - Vaxzevria,Dec 2021,243,,,,,243
Denmark,AstraZeneca - Vaxzevria,Jan 2022,64,,,,,64
Denmark,AstraZeneca - Vaxzevria,Feb 2022,15,,,,,15
Denmark,AstraZeneca - Vaxzevria,Mar 2022,4,,,,,4
Denmark,AstraZeneca - Vaxzevria,Apr 2022,5,,,,,5
Denmark,AstraZeneca - Vaxzevria,May 2022,5,,,,,5
Denmark,AstraZeneca - Vaxzevria,Jun 2022,3,,,,,3
Denmark,AstraZeneca - Vaxzevria,Jul 2022,4,,,,,4
Denmark,Janssen - Ad26.COV 2.S,Jan 2021,5,,,,,5
Denmark,Janssen - Ad26.COV 2.S,Feb 2021,2,,,,,2
Denmark,Janssen - Ad26.COV 2.S,Mar 2021,118,,,,,118
Denmark,Janssen - Ad26.COV 2.S,Apr 2021,216,,,,,216
Denmark,Janssen - Ad26.COV 2.S,May 2021,"1,304",,,,,"1,304"
Denmark,Janssen - Ad26.COV 2.S,Jun 2021,"41,113",,,,,"41,113"
Denmark,Janssen - Ad26.COV 2.S,Jul 2021,"2,798",,,,,"2,798"
Denmark,Janssen - Ad26.COV 2.S,Aug 2021,435,,,,,435
Denmark,Janssen - Ad26.COV 2.S,Sep 2021,69,,,,,69
Denmark,Janssen - Ad26.COV 2.S,Oct 2021,99,,,,,99
Denmark,Janssen - Ad26.COV 2.S,Nov 2021,76,,,,,76
Denmark,Janssen - Ad26.COV 2.S,Dec 2021,106,,,,,106
Denmark,Janssen - Ad26.COV 2.S,Jan 2022,38,,,,,38
Denmark,Janssen - Ad26.COV 2.S,Feb 2022,11,,,,,11
Denmark,Janssen - Ad26.COV 2.S,Mar 2022,20,,,,,20
Denmark,Janssen - Ad26.COV 2.S,Apr 2022,21,,,,,21
Denmark,Janssen - Ad26.COV 2.S,May 2022,14,,,,,14
Denmark,Janssen - Ad26.COV 2.S,Jun 2022,16,,,,,16
Denmark,Janssen - Ad26.COV 2.S,Jul 2022,11,,,,,11
Denmark,Janssen - Ad26.COV 2.S,Aug 2022,16,,,,,16
Denmark,Janssen - Ad26.COV 2.S,Sep 2022,6,,,,,6
Denmark,Moderna - Spikevax,Dec 2020,6,,,,,6
Denmark,Moderna - Spikevax,Jan 2021,"2,572",,,,,"2,572"
Denmark,Moderna - Spikevax,Feb 2021,"11,989",,,,,"11,989"
Denmark,Moderna - Spikevax,Mar 2021,"37,980",,,,,"37,980"
Denmark,Moderna - Spikevax,Apr 2021,"68,787",,,,,"68,787"
Denmark,Moderna - Spikevax,May 2021,"171,485",,,,,"171,485"
Denmark,Moderna - Spikevax,Jun 2021,"132,606",,,,,"132,606"
Denmark,Moderna - Spikevax,Jul 2021,"303,404",,,,,"303,404"
Denmark,Moderna - Spikevax,Aug 2021,"335,246",,,,,"335,246"
Denmark,Moderna - Spikevax,Sep 2021,"57,420",,,,,"57,420"
Denmark,Moderna - Spikevax,Oct 2021,"51,767",,,,,"51,767"
Denmark,Moderna - Spikevax,Nov 2021,"82,661",,,,,"82,661"
Denmark,Moderna - Spikevax,Dec 2021,"232,661",,,,,"232,661"
Denmark,Moderna - Spikevax,Jan 2022,"181,669",,,,,"181,669"
Denmark,Moderna - Spikevax,Feb 2022,"21,044",,,,,"21,044"
Denmark,Moderna - Spikevax,Mar 2022,"10,171",,,,,"10,171"
Denmark,Moderna - Spikevax,Apr 2022,"6,981",,,,,"6,981"
Denmark,Moderna - Spikevax,May 2022,"4,701",,,,,"4,701"
Denmark,Moderna - Spikevax,Jun 2022,"3,947",,,,,"3,947"
Denmark,Moderna - Spikevax,Jul 2022,"3,373",,,,,"3,373"
Denmark,Moderna - Spikevax,Aug 2022,979,,,,,979
Denmark,Moderna - Spikevax,Sep 2022,196,,,,,196
Denmark,Pfizer BioNTech - Comirnaty,Dec 2020,"44,703",,,,,"44,703"
Denmark,Pfizer BioNTech - Comirnaty,Jan 2021,"190,641",,,,,"190,641"
Denmark,Pfizer BioNTech - Comirnaty,Feb 2021,"219,513",,,,,"219,513"
Denmark,Pfizer BioNTech - Comirnaty,Mar 2021,"315,500",,,,,"315,500"
Denmark,Pfizer BioNTech - Comirnaty,Apr 2021,"655,347",,,,,"655,347"
Denmark,Pfizer BioNTech - Comirnaty,May 2021,"1,396,804",,,,,"1,396,804"
Denmark,Pfizer BioNTech - Comirnaty,Jun 2021,"1,464,311",,,,,"1,464,311"
Denmark,Pfizer BioNTech - Comirnaty,Jul 2021,"1,552,313",,,,,"1,552,313"
Denmark,Pfizer BioNTech - Comirnaty,Aug 2021,"918,721",,,,,"918,721"
Denmark,Pfizer BioNTech - Comirnaty,Sep 2021,"159,926",,,,,"159,926"
Denmark,Pfizer BioNTech - Comirnaty,Oct 2021,"253,137",,,,,"253,137"
Denmark,Pfizer BioNTech - Comirnaty,Nov 2021,"480,547",,,,,"480,547"
Denmark,Pfizer BioNTech - Comirnaty,Dec 2021,"1,938,380",,,,,"1,938,380"
Denmark,Pfizer BioNTech - Comirnaty,Jan 2022,"572,587",,,,,"572,587"
Denmark,Pfizer BioNTech - Comirnaty,Feb 2022,"62,305",,,,,"62,305"
Denmark,Pfizer BioNTech - Comirnaty,Mar 2022,"20,333",,,,,"20,333"
Denmark,Pfizer BioNTech - Comirnaty,Apr 2022,"14,376",,,,,"14,376"
Denmark,Pfizer BioNTech - Comirnaty,May 2022,"12,108",,,,,"12,108"
Denmark,Pfizer BioNTech - Comirnaty,Jun 2022,"10,944",,,,,"10,944"
Denmark,Pfizer BioNTech - Comirnaty,Jul 2022,"9,128",,,,,"9,128"
Denmark,Pfizer BioNTech - Comirnaty,Aug 2022,"3,272",,,,,"3,272"
Denmark,Pfizer BioNTech - Comirnaty,Sep 2022,678,,,,,678
Denmark,Unknown,Mar 2021,1,,,,,1
Denmark,Unknown,Apr 2021,1,,,,,1
Denmark,Unknown,May 2021,4,,,,,4
Denmark,Unknown,Jun 2021,3,,,,,3
Denmark,Unknown,Jul 2021,4,,,,,4
Denmark,Unknown,Aug 2021,2,,,,,2
Denmark,Unknown,Dec 2021,19,,,,,19
Denmark,Unknown,Jan 2022,7,,,,,7
Denmark,Unknown,Feb 2022,3,,,,,3
Denmark,Unknown,Apr 2022,2,,,,,2
Denmark,Unknown,Aug 2022,4,,,,,4
Djibouti,Gamaleya - Sputnik Light,Jan 2022,,"100,000",,,,"100,000"
Djibouti,Janssen - Ad26.COV 2.S,Jul 2021,,,"151,200",,,"151,200"
Djibouti,Janssen - Ad26.COV 2.S,Nov 2021,,,"50,400",,,"50,400"
Djibouti,Janssen - Ad26.COV 2.S,May 2022,,,"64,800",,,"64,800"
Djibouti,Janssen - Ad26.COV 2.S,Sep 2022,,,"93,600",,,"93,600"
Djibouti,Pfizer BioNTech - Comirnaty,Jan 2022,,,"45,630",,,"45,630"
Djibouti,Pfizer BioNTech - Comirnaty,Jul 2022,,,"29,250",,,"29,250"
Djibouti,SII - Covishield,Mar 2021,,,"24,000",,,"24,000"
Djibouti,Sinopharm (Beijing) - BBIBP-CorV,Dec 2021,,"1,100,000",,,,"1,100,000"
Djibouti,Sinovac - CoronaVac,Mar 2021,"100,000","200,000",,,,"300,000"
Dominica,AstraZeneca - Vaxzevria,Apr 2021,,,"8,500",,,"8,500"
Dominica,AstraZeneca - Vaxzevria,Aug 2021,,"12,000",,,,"12,000"
Dominica,AstraZeneca - Vaxzevria,Oct 2021,,"4,500",,,,"4,500"
Dominica,AstraZeneca - Vaxzevria,Dec 2021,,"2,000",,,,"2,000"
Dominica,AstraZeneca - Vaxzevria,Feb 2022,,"2,000",,,,"2,000"
Dominica,Moderna - Spikevax,Feb 2022,,,"30,240",,,"30,240"
Dominica,Pfizer BioNTech - Comirnaty,Sep 2021,,"11,700",,,,"11,700"
Dominica,Pfizer BioNTech - Comirnaty,Dec 2021,,,"63,180",,,"63,180"
Dominica,SII - Covishield,Feb 2021,,"70,000",,,,"70,000"
Dominica,Sinopharm (Beijing) - BBIBP-CorV,Mar 2021,,"20,000",,,,"20,000"
Dominican Republic,AstraZeneca - Vaxzevria,Apr 2021,,,"91,200",,,"91,200"
Dominican Republic,AstraZeneca - Vaxzevria,May 2021,,,"187,200",,,"187,200"
Dominican Republic,AstraZeneca - Vaxzevria,Jun 2021,"475,000",,,,,"475,000"
Dominican Republic,AstraZeneca - Vaxzevria,Aug 2021,,,"184,800",,,"184,800"
Dominican Republic,Pfizer BioNTech - Comirnaty,Jun 2021,"644,670",,,,,"644,670"
Dominican Republic,Pfizer BioNTech - Comirnaty,Jul 2021,"286,650",,,,,"286,650"
Dominican Republic,Pfizer BioNTech - Comirnaty,Aug 2021,"1,933,730",,,,,"1,933,730"
Dominican Republic,SII - Covishield,Feb 2021,"20,000","30,000",,,,"50,000"
Dominican Republic,SII - Covishield,Jan 2022,"90,000",,,,,"90,000"
Dominican Republic,Sinopharm (Beijing) - BBIBP-CorV,Mar 2021,,"50,000",,,,"50,000"
Dominican Republic,Sinovac - CoronaVac,Feb 2021,"768,000",,,,,"768,000"
Dominican Republic,Sinovac - CoronaVac,Mar 2021,"1,000,000",,,,,"1,000,000"
Dominican Republic,Sinovac - CoronaVac,Apr 2021,"500,000",,,,,"500,000"
Dominican Republic,Sinovac - CoronaVac,May 2021,"2,000,000",,,,,"2,000,000"
Dominican Republic,Sinovac - CoronaVac,Jun 2021,"4,000,000",,,,,"4,000,000"
Dominican Republic,Sinovac - CoronaVac,Jul 2021,"3,000,000",,,,,"3,000,000"
Dominican Republic,Unknown,May 2021,,,,,"96,112","96,112"
Dominican Republic,Unknown,Dec 2021,,,,,"227,845","227,845"
Dominican Republic,Unknown,Jan 2022,,,,,"665,922","665,922"
Dominican Republic,Unknown,Feb 2022,,,,,"526,290","526,290"
Dominican Republic,Unknown,Mar 2022,,,,,"272,537","272,537"
Dominican Republic,Unknown,Apr 2022,,,,,"105,639","105,639"
Dominican Republic,Unknown,May 2022,,,,,"79,309","79,309"
Dominican Republic,Unknown,Jun 2022,,,,,"120,184","120,184"
Dominican Republic,Unknown,Jul 2022,,,,,"101,688","101,688"
Dominican Republic,Unknown,Aug 2022,,,,,"106,592","106,592"
Dominican Republic,Unknown,Sep 2022,,,,,"75,153","75,153"
Ecuador,AstraZeneca - Vaxzevria,Mar 2021,"84,000",,"84,000",,,"168,000"
Ecuador,AstraZeneca - Vaxzevria,Apr 2021,"336,000",,"336,000",,,"672,000"
Ecuador,AstraZeneca - Vaxzevria,May 2021,"200,000",,,,,"200,000"
Ecuador,AstraZeneca - Vaxzevria,Jun 2021,"746,000",,"336,000",,,"1,082,000"
Ecuador,AstraZeneca - Vaxzevria,Jul 2021,"693,400",,,,,"693,400"
Ecuador,AstraZeneca - Vaxzevria,Aug 2021,"659,710","394,950","101,760",,,"1,156,420"
Ecuador,AstraZeneca - Vaxzevria,Sep 2021,"392,200",,,,,"392,200"
Ecuador,AstraZeneca - Vaxzevria,Oct 2021,"734,400",,,,,"734,400"
Ecuador,AstraZeneca - Vaxzevria,Nov 2021,"1,020,000",,,,,"1,020,000"
Ecuador,AstraZeneca - Vaxzevria,Dec 2021,"1,000,000","1,000,000",,,,"2,000,000"
Ecuador,AstraZeneca - Vaxzevria,Jan 2022,"1,577,000","150,000",,,,"1,727,000"
Ecuador,AstraZeneca - Vaxzevria,Mar 2022,"5,500",,,,,"5,500"
Ecuador,CanSino - CONVIDECIA,Aug 2021,"500,000",,,,,"500,000"
Ecuador,CanSino - CONVIDECIA,Sep 2021,"300,000",,,,,"300,000"
Ecuador,Pfizer BioNTech - Comirnaty,Jan 2021,"6,825",,,,,"6,825"
Ecuador,Pfizer BioNTech - Comirnaty,Feb 2021,"33,930",,,,,"33,930"
Ecuador,Pfizer BioNTech - Comirnaty,Mar 2021,"299,520",,,,,"299,520"
Ecuador,Pfizer BioNTech - Comirnaty,Apr 2021,"217,620",,,,,"217,620"
Ecuador,Pfizer BioNTech - Comirnaty,May 2021,"542,880",,,,,"542,880"
Ecuador,Pfizer BioNTech - Comirnaty,Jun 2021,"542,880",,,,,"542,880"
Ecuador,Pfizer BioNTech - Comirnaty,Jul 2021,"2,947,701","2,000,000","379,080",,,"5,326,781"
Ecuador,Pfizer BioNTech - Comirnaty,Aug 2021,"1,188,720",,,,,"1,188,720"
Ecuador,Pfizer BioNTech - Comirnaty,Sep 2021,"882,180",,"176,670",,,"1,058,850"
Ecuador,Pfizer BioNTech - Comirnaty,Oct 2021,"568,620",,,,,"568,620"
Ecuador,Pfizer BioNTech - Comirnaty,Nov 2021,"590,850",,,,,"590,850"
Ecuador,Pfizer BioNTech - Comirnaty,Dec 2021,"1,916,400",,"1,181,700",,,"3,098,100"
Ecuador,Pfizer BioNTech - Comirnaty,Feb 2022,"1,511,640",,"1,511,640",,,"3,023,280"
Ecuador,Sinovac - CoronaVac,Mar 2021,"20,000","20,000",,,,"40,000"
Ecuador,Sinovac - CoronaVac,Apr 2021,"1,000,000",,,,,"1,000,000"
Ecuador,Sinovac - CoronaVac,May 2021,"703,520","203,520",,,,"907,040"
Ecuador,Sinovac - CoronaVac,Jun 2021,"500,600",,,,,"500,600"
Ecuador,Sinovac - CoronaVac,Jul 2021,"7,000,000",,,,,"7,000,000"
Ecuador,Sinovac - CoronaVac,Aug 2021,"4,000,000",,,,,"4,000,000"
Ecuador,Sinovac - CoronaVac,Oct 2021,"1,000,000","500,000",,,,"1,500,000"
Ecuador,Sinovac - CoronaVac,Nov 2021,"625,200",,"625,200",,,"1,250,400"
Ecuador,Sinovac - CoronaVac,Dec 2021,"1,351,500",,"1,351,200",,,"2,702,700"
Ecuador,Sinovac - CoronaVac,Feb 2022,"3,000,000",,,,,"3,000,000"
Ecuador,Sinovac - CoronaVac,May 2022,"2,500,000","2,500,000",,,,"5,000,000"
Egypt,AstraZeneca - Vaxzevria,Mar 2021,,,"854,400",,,"854,400"
Egypt,AstraZeneca - Vaxzevria,May 2021,,,"1,768,800",,,"1,768,800"
Egypt,AstraZeneca - Vaxzevria,Jul 2021,,"250,000",,,,"250,000"
Egypt,AstraZeneca - Vaxzevria,Aug 2021,,"525,000","2,066,080",,,"2,591,080"
Egypt,AstraZeneca - Vaxzevria,Sep 2021,,"350,800","1,396,960",,,"1,747,760"
Egypt,AstraZeneca - Vaxzevria,Oct 2021,,"250,000","3,711,760",,,"3,961,760"
Egypt,AstraZeneca - Vaxzevria,Nov 2021,,,"2,388,500",,,"2,388,500"
Egypt,AstraZeneca - Vaxzevria,Dec 2021,,"150,000","2,329,060",,,"2,479,060"
Egypt,AstraZeneca - Vaxzevria,Jan 2022,,"1,799,640","8,760,160",,,"10,559,800"
Egypt,AstraZeneca - Vaxzevria,Feb 2022,,"338,800",,,,"338,800"
Egypt,Gamaleya - Sputnik V,Jun 2021,"210,000","8,000",,,,"218,000"
Egypt,Gamaleya - Sputnik V,Aug 2021,"175,000",,,,,"175,000"
Egypt,Janssen - Ad26.COV 2.S,Aug 2021,,,,"261,600",,"261,600"
Egypt,Janssen - Ad26.COV 2.S,Sep 2021,,,,"525,600",,"525,600"
Egypt,Janssen - Ad26.COV 2.S,Oct 2021,,,,"1,058,400",,"1,058,400"
Egypt,Janssen - Ad26.COV 2.S,Nov 2021,,,"10,600,650","2,721,600",,"13,322,250"
Egypt,Janssen - Ad26.COV 2.S,Dec 2021,,,"345,600",,,"345,600"
Egypt,Moderna - Spikevax,Oct 2021,,,"784,280",,,"784,280"
Egypt,Moderna - Spikevax,Nov 2021,,,"3,575,040",,,"3,575,040"
Egypt,Moderna - Spikevax,Dec 2021,,,"1,303,260",,,"1,303,260"
Egypt,Moderna - Spikevax,Jan 2022,,,"1,592,400",,,"1,592,400"
Egypt,Pfizer BioNTech - Comirnaty,Oct 2021,,,"8,255,520",,,"8,255,520"
Egypt,Pfizer BioNTech - Comirnaty,Nov 2021,,,"3,892,590",,,"3,892,590"
Egypt,Pfizer BioNTech - Comirnaty,Dec 2021,,,"1,501,110",,,"1,501,110"
Egypt,Pfizer BioNTech - Comirnaty,Jan 2022,,"115,000","6,341,400",,,"6,456,400"
Egypt,Pfizer BioNTech - Comirnaty,Feb 2022,,,"2,158,650",,,"2,158,650"
Egypt,Pfizer BioNTech - Comirnaty,Apr 2022,,,"1,501,110",,,"1,501,110"
Egypt,Pfizer BioNTech - Comirnaty,Jul 2022,,,"2,999,880",,,"2,999,880"
Egypt,SII - Covishield,Jan 2021,"50,000",,,,,"50,000"
Egypt,SII - Covishield,Feb 2021,0,,,,,0
Egypt,Sinopharm (Beijing) - BBIBP-CorV,Dec 2020,"100,000","50,000",,,,"150,000"
Egypt,Sinopharm (Beijing) - BBIBP-CorV,Feb 2021,"300,000",,,,,"300,000"
Egypt,Sinopharm (Beijing) - BBIBP-CorV,Mar 2021,,"300,000",,,,"300,000"
Egypt,Sinopharm (Beijing) - BBIBP-CorV,May 2021,"1,000,000",,,,,"1,000,000"
Egypt,Sinopharm (Beijing) - BBIBP-CorV,Jun 2021,"500,000",,,,,"500,000"
Egypt,Sinopharm (Beijing) - BBIBP-CorV,Sep 2021,"4,400,000",,,,,"4,400,000"
Egypt,Sinovac - CoronaVac,May 2021,"2,000,000",,,,,"2,000,000"
Egypt,Sinovac - CoronaVac,Aug 2021,"1,000,000",,,,,"1,000,000"
Egypt,Sinovac - CoronaVac,Sep 2021,"5,600,000",,,,,"5,600,000"
Egypt,Sinovac - CoronaVac,Nov 2021,,"2,000,000",,,,"2,000,000"
Egypt,Unknown,May 2022,,,,,"2,625,138","2,625,138"
Egypt,Unknown,Jun 2022,,,,,"6,800,157","6,800,157"
Egypt,Unknown,Jul 2022,,,,,"1,153,592","1,153,592"
Egypt,Unknown,Aug 2022,,,,,"2,574,050","2,574,050"
Egypt,Unknown,Sep 2022,,,,,"947,227","947,227"
El Salvador,AstraZeneca - Vaxzevria,Mar 2021,,,"33,600",,,"33,600"
El Salvador,AstraZeneca - Vaxzevria,Apr 2021,,,"96,000",,,"96,000"
El Salvador,AstraZeneca - Vaxzevria,May 2021,,,"96,000",,,"96,000"
El Salvador,AstraZeneca - Vaxzevria,Jun 2021,"204,000","100,800",,,,"304,800"
El Salvador,AstraZeneca - Vaxzevria,Aug 2021,"163,200",,,,,"163,200"
El Salvador,AstraZeneca - Vaxzevria,Oct 2021,"326,400",,,,,"326,400"
El Salvador,Moderna - Spikevax,Jul 2021,,,"1,500,100",,,"1,500,100"
El Salvador,Moderna - Spikevax,Nov 2021,,,"1,500,100",,,"1,500,100"
El Salvador,Pfizer BioNTech - Comirnaty,Mar 2021,,,"51,480",,,"51,480"
El Salvador,Pfizer BioNTech - Comirnaty,May 2021,,,"140,400",,,"140,400"
El Salvador,Pfizer BioNTech - Comirnaty,Jun 2021,"125,190",,,,,"125,190"
El Salvador,Pfizer BioNTech - Comirnaty,Jul 2021,"125,190",,,,,"125,190"
El Salvador,Pfizer BioNTech - Comirnaty,Aug 2021,"292,230",,"188,370",,,"480,600"
El Salvador,Pfizer BioNTech - Comirnaty,Sep 2021,"420,030",,,,,"420,030"
El Salvador,Pfizer BioNTech - Comirnaty,Oct 2021,"703,170",,,,,"703,170"
El Salvador,Pfizer BioNTech - Comirnaty,Nov 2021,"205,920",,,,,"205,920"
El Salvador,Pfizer BioNTech - Comirnaty,Dec 2021,"826,020",,,,,"826,020"
El Salvador,Pfizer BioNTech - Comirnaty,Aug 2022,,,"297,600",,,"297,600"
El Salvador,Pfizer BioNTech - Comirnaty,Sep 2022,,,"105,600",,,"105,600"
El Salvador,SII - Covishield,Feb 2021,"20,000",,,,,"20,000"
El Salvador,SII - Covishield,Jan 2022,"90,000",,,,,"90,000"
El Salvador,Sinopharm (Beijing) - BBIBP-CorV,Jul 2021,"1,000,000",,,,,"1,000,000"
El Salvador,Sinopharm (Beijing) - BBIBP-CorV,Sep 2021,"527,600",,,,,"527,600"
El Salvador,Sinopharm (Beijing) - BBIBP-CorV,Dec 2021,,"100,000",,,,"100,000"
El Salvador,Sinovac - CoronaVac,Mar 2021,"1,000,000",,,,,"1,000,000"
El Salvador,Sinovac - CoronaVac,Apr 2021,,"150,000",,,,"150,000"
El Salvador,Sinovac - CoronaVac,May 2021,"500,000",,,,,"500,000"
El Salvador,Sinovac - CoronaVac,Jun 2021,"500,000",,,,,"500,000"
El Salvador,Sinovac - CoronaVac,Jul 2021,"1,500,000",,,,,"1,500,000"
El Salvador,Sinovac - CoronaVac,Dec 2021,,"500,000",,,,"500,000"
El Salvador,Unknown,May 2021,,,,,"30,868","30,868"
Equatorial Guinea,Moderna - Spikevax,Jun 2022,,,"60,000",,,"60,000"
Equatorial Guinea,Sinopharm (Beijing) - BBIBP-CorV,Feb 2021,,"100,000",,,,"100,000"
Equatorial Guinea,Sinopharm (Beijing) - BBIBP-CorV,Apr 2021,,"200,000",,,,"200,000"
Equatorial Guinea,Unknown,Jul 2021,,,,,"36,893","36,893"
Equatorial Guinea,Unknown,Aug 2021,,,,,"43,399","43,399"
Equatorial Guinea,Unknown,Sep 2021,,,,,"56,500","56,500"
Equatorial Guinea,Unknown,Oct 2021,,,,,"38,013","38,013"
Equatorial Guinea,Unknown,Nov 2021,,,,,"15,448","15,448"
Equatorial Guinea,Unknown,Dec 2021,,,,,"7,680","7,680"
Equatorial Guinea,Unknown,Jan 2022,,,,,"3,288","3,288"
Equatorial Guinea,Unknown,Feb 2022,,,,,"8,683","8,683"
Equatorial Guinea,Unknown,Mar 2022,,,,,"10,846","10,846"
Equatorial Guinea,Unknown,Apr 2022,,,,,"3,677","3,677"
Equatorial Guinea,Unknown,May 2022,,,,,"3,563","3,563"
Estonia,AstraZeneca - Vaxzevria,Feb 2021,"33,600",,,,,"33,600"
Estonia,AstraZeneca - Vaxzevria,Mar 2021,"57,600",,,,,"57,600"
Estonia,AstraZeneca - Vaxzevria,Apr 2021,"67,200",,,,,"67,200"
Estonia,AstraZeneca - Vaxzevria,May 2021,"93,600",,,,,"93,600"
Estonia,AstraZeneca - Vaxzevria,Jun 2021,"96,000",,,,,"96,000"
Estonia,AstraZeneca - Vaxzevria,Jul 2021,0,,,,,0
Estonia,AstraZeneca - Vaxzevria,Aug 2021,0,,,,,0
Estonia,AstraZeneca - Vaxzevria,Sep 2021,0,,,,,0
Estonia,AstraZeneca - Vaxzevria,Oct 2021,0,,,,,0
Estonia,AstraZeneca - Vaxzevria,Nov 2021,0,,,,,0
Estonia,AstraZeneca - Vaxzevria,Dec 2021,0,,,,,0
Estonia,AstraZeneca - Vaxzevria,Jan 2022,0,,,,,0
Estonia,AstraZeneca - Vaxzevria,Feb 2022,0,,,,,0
Estonia,AstraZeneca - Vaxzevria,Mar 2022,0,,,,,0
Estonia,AstraZeneca - Vaxzevria,Apr 2022,0,,,,,0
Estonia,AstraZeneca - Vaxzevria,May 2022,"470,300",,,,,"470,300"
Estonia,AstraZeneca - Vaxzevria,Jun 2022,0,,,,,0
Estonia,AstraZeneca - Vaxzevria,Jul 2022,0,,,,,0
Estonia,AstraZeneca - Vaxzevria,Aug 2022,0,,,,,0
Estonia,AstraZeneca - Vaxzevria,Sep 2022,0,,,,,0
Estonia,Janssen - Ad26.COV 2.S,Apr 2021,"2,400",,,,,"2,400"
Estonia,Janssen - Ad26.COV 2.S,May 2021,"17,200",,,,,"17,200"
Estonia,Janssen - Ad26.COV 2.S,Jun 2021,"12,000",,,,,"12,000"
Estonia,Janssen - Ad26.COV 2.S,Jul 2021,"9,600",,,,,"9,600"
Estonia,Janssen - Ad26.COV 2.S,Aug 2021,"4,800",,,,,"4,800"
Estonia,Janssen - Ad26.COV 2.S,Sep 2021,"17,200",,,,,"17,200"
Estonia,Janssen - Ad26.COV 2.S,Oct 2021,"57,600",,,,,"57,600"
Estonia,Janssen - Ad26.COV 2.S,Nov 2021,0,,,,,0
Estonia,Janssen - Ad26.COV 2.S,Dec 2021,0,,,,,0
Estonia,Janssen - Ad26.COV 2.S,Jan 2022,0,,,,,0
Estonia,Janssen - Ad26.COV 2.S,Feb 2022,0,,,,,0
Estonia,Janssen - Ad26.COV 2.S,Mar 2022,0,,,,,0
Estonia,Janssen - Ad26.COV 2.S,Apr 2022,0,,,,,0
Estonia,Janssen - Ad26.COV 2.S,May 2022,0,,,,,0
Estonia,Janssen - Ad26.COV 2.S,Jun 2022,0,,,,,0
Estonia,Janssen - Ad26.COV 2.S,Jul 2022,0,,,,,0
Estonia,Janssen - Ad26.COV 2.S,Aug 2022,0,,,,,0
Estonia,Janssen - Ad26.COV 2.S,Sep 2022,0,,,,,0
Estonia,Moderna - Spikevax,Jan 2021,"2,400",,,,,"2,400"
Estonia,Moderna - Spikevax,Feb 2021,"8,400",,,,,"8,400"
Estonia,Moderna - Spikevax,Mar 2021,"18,000",,,,,"18,000"
Estonia,Moderna - Spikevax,Apr 2021,"9,600",,,,,"9,600"
Estonia,Moderna - Spikevax,May 2021,"44,400",,,,,"44,400"
Estonia,Moderna - Spikevax,Jun 2021,"38,400",,,,,"38,400"
Estonia,Moderna - Spikevax,Jul 2021,"32,400",,,,,"32,400"
Estonia,Moderna - Spikevax,Aug 2021,"73,200",,,,,"73,200"
Estonia,Moderna - Spikevax,Sep 2021,"4,800",,,,,"4,800"
Estonia,Moderna - Spikevax,Oct 2021,"11,200",,,,,"11,200"
Estonia,Moderna - Spikevax,Nov 2021,0,,,,,0
